sep=,
CUSTOM.date [local],CUSTOM.updateTime [local],OSD.flyTime,OSD.flyTime [s],OSD.latitude,OSD.longitude,OSD.height [ft],OSD.heightMax [ft],OSD.vpsHeight [ft],OSD.altitude [ft],OSD.mileage [ft],OSD.hSpeed [MPH],OSD.hSpeedMax [MPH],OSD.xSpeed [MPH],OSD.xSpeedMax [MPH],OSD.ySpeed [MPH],OSD.ySpeedMax [MPH],OSD.zSpeed [MPH],OSD.zSpeedMax [MPH],OSD.pitch,OSD.roll,OSD.yaw,OSD.yaw [360],OSD.directionOfTravel,OSD.flycState,OSD.flycCommand,OSD.flightAction,OSD.gpsNum,OSD.gpsLevel,OSD.isGPSUsed,OSD.nonGPSCause,OSD.droneType,OSD.isSwaveWork,OSD.waveError,OSD.goHomeStatus,OSD.batteryType,OSD.ctrlDevice,OSD.isOnGround,OSD.isMotorOn,OSD.isMotorBlocked,OSD.motorStartFailedCause,OSD.motorFailReason,OSD.isImuPreheated,OSD.imuInitFailReason,OSD.isAcceletorOverRange,OSD.isBarometerDeadInAir,OSD.isCompassError,OSD.isGoHomeHeightModified,OSD.canIOCWork,OSD.isNotEnoughForce,OSD.isOutOfLimit,OSD.isPropellerCatapult,OSD.isVibrating,OSD.isVisionUsed,OSD.voltageWarning,GIMBAL.mode,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,GIMBAL.yaw [360],GIMBAL.isPitchAtLimit,GIMBAL.isRollAtLimit,GIMBAL.isYawAtLimit,GIMBAL.isStuck,CAMERA.isPhoto,CAMERA.isVideo,CAMERA.filename,CAMERA.sdCardIsInserted,CAMERA.sdCardState,RC.downlinkSignal,RC.uplinkSignal,RC.aileron,RC.elevator,RC.throttle,RC.rudder,RC.mode,RC.goHomeDepressed,RC.recordDepressed,RC.shutterDepressed,RC.playbackDepressed,RC.wheelDepressed,RC.wheelOffset,RC.custom1Depressed,RC.custom2Depressed,RC.custom3Depressed,RC.custom4Depressed,BATTERY1.chargeLevel,BATTERY2.chargeLevel,BATTERY1.currentPV [V],BATTERY2.currentPV [V],BATTERY1.currentCapacity [mAh],BATTERY2.currentCapacity [mAh],BATTERY1.fullCapacity [mAh],BATTERY2.fullCapacity [mAh],BATTERY1.voltage [V],BATTERY2.voltage [V],BATTERY1.isCellVoltageEstimated,BATTERY1.cellVoltage1 [V],BATTERY1.cellVoltage2 [V],BATTERY1.cellVoltage3 [V],BATTERY1.cellVoltage4 [V],BATTERY1.cellVoltage5 [V],BATTERY1.cellVoltage6 [V],BATTERY1.cellVoltage7 [V],BATTERY1.cellVoltage8 [V],BATTERY1.cellVoltage9 [V],BATTERY1.cellVoltage10 [V],BATTERY1.cellVoltage11 [V],BATTERY1.cellVoltage12 [V],BATTERY1.maxCellVoltageDeviation,BATTERY1.isCellVoltageDeviationHigh,BATTERY1.isVoltageLow,BATTERY2.isCellVoltageEstimated,BATTERY2.cellVoltage1 [V],BATTERY2.cellVoltage2 [V],BATTERY2.cellVoltage3 [V],BATTERY2.cellVoltage4 [V],BATTERY2.cellVoltage5 [V],BATTERY2.cellVoltage6 [V],BATTERY2.cellVoltage7 [V],BATTERY2.cellVoltage8 [V],BATTERY2.cellVoltage9 [V],BATTERY2.cellVoltage10 [V],BATTERY2.cellVoltage11 [V],BATTERY2.cellVoltage12 [V],BATTERY2.maxCellVoltageDeviation,BATTERY2.isCellVoltageDeviationHigh,BATTERY2.isVoltageLow,BATTERY1.current [A],BATTERY2.current [A],BATTERY1.temperature [F],BATTERY2.temperature [F],BATTERY1.minTemperature [F],BATTERY2.minTemperature [F],BATTERY1.maxTemperature [F],BATTERY2.maxTemperature [F],BATTERY.usefulTime [s],BATTERY.goHomeTime [s],BATTERY.landTime [s],BATTERY.goHomeBattery,BATTERY.landBattery,BATTERY.safeFlyRadius,BATTERY.volumeConsume,BATTERY.status,BATTERY.goHomeStatus,BATTERY.goHomeCountdown,BATTERY.lowWarning,BATTERY.lowWarningGoHome,BATTERY.seriousLowWarning,BATTERY.seriousLowWarningLanding,BATTERY1.timesCharged,BATTERY2.timesCharged,MC.failSafeAction,MC.isObstacleAvoidanceEnabled,MC.isCollisionAvoidanceEnabled,MC.isRthObstacleAvoidanceEnabled,MC.isBraking,MC.isAvoidingObstacle,MC.isAvoidingActiveObstacle,MC.isAscentLimitedByObstacle,MC.isLandingConfirmationNeeded,MC.atLowAltitudeLimit,MC.atDistanceLimit,MC.atAirportAltitudeLimit,MC.atAirportBoundary,HOME.latitude,HOME.longitude,HOME.distance [ft],HOME.height [ft],HOME.heightLimit [ft],HOME.isHomeRecord,HOME.goHomeMode,HOME.aircraftHeadDirection,HOME.isDynamicHomePointEnabled,HOME.isReachedLimitDistance,HOME.isReachedLimitHeight,HOME.isCompassCalibrating,HOME.compassCalibrationState,HOME.isMultipleFlightModeEnabled,HOME.isBeginnerMode,HOME.isIOCEnabled,HOME.iocMode,HOME.goHomeHeight [ft],HOME.courseLockAngle,HOME.forceLandingHeight [ft],HOME.dataRecorderFileIndex,WEATHER.windDirection,WEATHER.windRelativeDirection,WEATHER.windSpeed [MPH],WEATHER.maxWindSpeed [MPH],WEATHER.windStrength,WEATHER.isFacingWind,WEATHER.isFlyingIntoWind,RECOVER.appType,RECOVER.appVersion,RECOVER.aircraftName,RECOVER.aircraftSerial,RECOVER.cameraSerial,RECOVER.rcSerial,RECOVER.batterySerial,DETAILS.totalTime [s],DETAILS.totalDistance [ft],DETAILS.maxHeight [ft],DETAILS.maxHorizontalSpeed [MPH],DETAILS.maxVerticalSpeed [MPH],DETAILS.photoNum,DETAILS.videoTime [s],DETAILS.aircraftName,DETAILS.aircraftSerial,DETAILS.cameraSerial,DETAILS.rcSerial,DETAILS.batterySerial,DETAILS.appName,DETAILS.appType,DETAILS.appVersion,DETAILS.guid,SERIAL.flightController,SERIAL.camera,SERIAL.gimbal,SERIAL.rc,SERIAL.battery,SERIAL.battery2,APPGPS.latitude,APPGPS.longitude,APPGPS.accuracy,APP.tip,APP.warning
11/1/2023,6:24:22.36 PM,0m 0.0s,0.0,33.8027920435382,-117.46592637269,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,,,364,371,366,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,,,,,,,,Idle,,,,,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,Your aircraft is flying in an Altitude Zone (500m). Please fly with caution.; Flight mode changed to Starting Motors.,
11/1/2023,6:24:22.45 PM,0m 0.1s,0.1,33.8027919755541,-117.465926370711,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,379,367,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,,,,,,,,Idle,,,,,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:22.56 PM,0m 0.2s,0.2,33.8027919865193,-117.465926370711,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,367,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,,,,,,,,Idle,,,,,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,False,,,False,False,False,False,,False,False,False,,,,,,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:22.66 PM,0m 0.3s,0.3,33.8027919755541,-117.46592637335,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2971.9,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,Data Recorder File Index is 93.; Set Return to Home (RTH) altitude to 60 m (197 ft).; Set maximum flight altitude to 121 m (397 ft).,
11/1/2023,6:24:22.76 PM,0m 0.4s,0.4,33.8027919848745,-117.465926377309,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2972.0,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:22.86 PM,0m 0.5s,0.5,33.802791964589,-117.46592637401,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2971.9,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:22.96 PM,0m 0.6s,0.6,33.8027919722646,-117.46592637401,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.4,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2971.9,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:23.07 PM,0m 0.7s,0.7,33.8027919459482,-117.465926368732,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.4,-1.4,-135.7,224.3,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2971.9,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:23.17 PM,0m 0.8s,0.8,33.8027919503343,-117.465926368732,0,0,0.6,1264,0,0,0,0,0,0,0,0,0,0.3,-1.4,-135.8,224.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2971.9,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
11/1/2023,6:24:23.27 PM,0m 0.9s,0.9,33.8027921011053,-117.46592652047,0,0,0.6,1264,0.1,0,0,0,0,0,0,0,0,0.4,-1.4,-135.8,224.2,,Starting Motors,Other,Takeoff (RC Assisted),18,5,True,,Matrice 300 RTK,True,False,,Smart,RC,True,True,False,,,True,,False,False,False,False,False,False,False,False,False,False,0,Follow Yaw,0,0,-143.2,216.8,False,False,False,False,False,False,,False,No Card,100,100,364,364,364,1684,2,False,False,False,False,False,0,False,False,False,False,99,,51.612,,9943,,10044,,51.612,,True,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,4.294,,False,False,True,,,,,,,,,,,,,,False,False,1.46,,76.8,,76.8,,76.8,,,100,,16,5,10974.4,1463.26,,Idle,,20,,10,,,20,Go Home,False,False,False,False,False,False,False,False,False,False,False,False,33.7987591666667,-117.457408166667,2972.0,1049.4,396.9,True,1,1,False,False,False,False,,True,False,False,Course Lock,196.8,67,16.4,93,,,,,Calm,False,False,Android,7.0.2,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,728.3,5.7,137.7,8.547347,2.013246,0,0,M300 RTK,1ZN7L4R0H1D00F,1W9DL31001461C,1ZMLH8300204F0,1Z6PH74DAP0QN7,DJI Pilot,Android,7.0.2,1EF72A62-B7C3-C88D-164E-CE6F8C8424AE,1ZN7L4R0H1D00F,1W9DL31001461C,,1ZMLH8300204F0,1W9DL31001461C,1Z6PH74DAP0QN7,,,,,
