flyTime,localTime,windSpeed
0.0,5:57:48.91 PM,0.0
0.1,5:57:49.01 PM,0.0
0.2,5:57:49.11 PM,0.0
0.3,5:57:49.21 PM,0.0
0.4,5:57:49.32 PM,0.0
0.5,5:57:49.42 PM,0.0
0.6,5:57:49.52 PM,0.0
0.7,5:57:49.60 PM,0.0
0.8,5:57:49.73 PM,0.0
0.9,5:57:49.83 PM,0.0
1.0,5:57:49.90 PM,0.0
1.1,5:57:50.03 PM,0.0
1.2,5:57:50.10 PM,0.0
1.3,5:57:50.20 PM,0.0
1.4,5:57:50.30 PM,0.0
1.5,5:57:50.40 PM,0.0
1.6,5:57:50.50 PM,0.0
1.7,5:57:50.60 PM,0.0
1.8,5:57:50.70 PM,0.0
1.9,5:57:50.80 PM,0.0
2.0,5:57:50.90 PM,0.0
2.1,5:57:50.96 PM,0.0
2.2,5:57:51.06 PM,0.0
2.3,5:57:51.16 PM,0.0
2.4,5:57:51.27 PM,0.0
2.5,5:57:51.37 PM,0.0
2.6,5:57:51.47 PM,0.0
2.7,5:57:51.57 PM,0.0
2.8,5:57:51.67 PM,0.0
2.9,5:57:51.80 PM,0.0
3.0,5:57:51.88 PM,0.0
3.1,5:57:51.98 PM,0.0
3.2,5:57:52.08 PM,0.0
3.3,5:57:52.19 PM,0.0
3.4,5:57:52.30 PM,0.0
3.5,5:57:52.40 PM,0.0
3.6,5:57:52.50 PM,0.0
3.7,5:57:52.60 PM,0.0
3.8,5:57:52.71 PM,0.0
3.9,5:57:52.81 PM,0.0
4.0,5:57:52.91 PM,0.0
4.1,5:57:53.01 PM,0.0
4.2,5:57:53.12 PM,0.0
4.3,5:57:53.22 PM,0.0
4.4,5:57:53.32 PM,0.0
4.5,5:57:53.42 PM,0.0
4.6,5:57:53.53 PM,0.0
4.7,5:57:53.63 PM,0.0
4.8,5:57:53.73 PM,0.0
4.9,5:57:53.80 PM,0.0
5.0,5:57:53.94 PM,0.0
5.1,5:57:54.00 PM,0.0
5.2,5:57:54.10 PM,0.0
5.3,5:57:54.20 PM,0.0
5.4,5:57:54.30 PM,0.0
5.5,5:57:54.40 PM,0.0
5.6,5:57:54.50 PM,0.0
5.7,5:57:54.60 PM,0.0
5.8,5:57:54.66 PM,0.0
5.9,5:57:54.76 PM,0.0
6.0,5:57:54.86 PM,0.0
6.1,5:57:55.00 PM,0.0
6.2,5:57:55.07 PM,0.0
6.3,5:57:55.17 PM,0.0
6.4,5:57:55.28 PM,0.0
6.5,5:57:55.38 PM,0.0
6.6,5:57:55.48 PM,0.0
6.7,5:57:55.59 PM,0.0
6.8,5:57:55.69 PM,0.0
6.9,5:57:55.79 PM,0.0
7.0,5:57:55.90 PM,0.0
7.1,5:57:56.00 PM,0.0
7.2,5:57:56.10 PM,0.0
7.3,5:57:56.20 PM,0.0
7.4,5:57:56.31 PM,0.0
7.5,5:57:56.41 PM,0.0
7.6,5:57:56.51 PM,0.0
7.7,5:57:56.62 PM,0.0
7.8,5:57:56.72 PM,0.0
7.9,5:57:56.82 PM,0.0
8.0,5:57:56.92 PM,0.0
8.1,5:57:57.03 PM,0.0
8.2,5:57:57.13 PM,0.0
8.3,5:57:57.23 PM,0.0
8.4,5:57:57.33 PM,0.0
8.5,5:57:57.40 PM,0.0
8.6,5:57:57.50 PM,0.0
8.7,5:57:57.60 PM,0.0
